lon,lat,time,EPV,H,O3,OMEGA,PHIS,PS,QI,QL,QV,RH,SLP,T,U,V
-120.0,10.0,2022-01-31,4.2772365e-07,5842.539,6.092185e-08,-0.06943074,0.0,100963.93,1.2558843e-11,1.8166611e-07,0.0014896399,0.32958996,100960.086,266.90033,2.8648634,7.646256
-120.0,10.0,2022-02-28,2.3142624e-07,5859.508,5.973974e-08,-0.0044517815,0.0,101182.29,2.4177354e-29,1.0011718e-07,0.00220013,0.46386787,101179.38,266.7202,4.7409267,5.94543
-120.0,10.0,2022-03-31,8.357853e-08,5865.665,6.172594e-08,0.051004946,0.0,101281.23,7.072015e-30,8.014467e-09,0.002023697,0.4255371,101278.5,266.6798,5.6449995,6.2826886
-120.0,10.0,2022-04-30,1.06492735e-08,5850.579,6.427001e-08,0.072722346,0.0,101163.33,8.373302e-13,1.6600825e-06,0.0014672279,0.31530762,101161.11,266.57123,5.8230276,6.5785937
-120.0,10.0,2022-05-31,-2.494923e-08,5844.749,6.452431e-08,-0.01071614,0.0,101079.52,1.9110155e-28,7.248018e-07,0.0013980865,0.30493167,101080.86,266.44534,5.7570767,6.2161446
-120.0,10.0,2022-06-30,-1.25181e-08,5858.1,6.448711e-08,-0.015381992,0.0,101229.25,1.1967729e-30,3.7124846e-07,0.0014958393,0.33691427,101226.69,266.1826,5.1072087,6.229972
-120.0,10.0,2022-07-31,-2.5409804e-08,5871.9937,6.580173e-08,0.10084227,0.0,101272.805,0.0,5.4060365e-09,0.0013904754,0.30763027,101271.05,266.42477,2.720158,7.5746593
-120.0,10.0,2022-08-31,-5.46691e-08,5850.1206,6.636537e-08,-0.22550619,0.0,101052.93,0.0,1.3164245e-06,0.0011339206,0.23944145,101056.71,266.8556,1.7758336,7.855359
-120.0,10.5,2022-01-31,4.247114e-07,5841.664,6.237704e-08,-0.055758864,0.0,100955.93,5.2409632e-11,1.05792424e-07,0.00096201955,0.23345958,100958.086,266.5644,0.16662121,7.290787
-120.0,10.5,2022-02-28,3.7712002e-07,5857.883,5.973974e-08,0.0058021247,0.0,101182.29,4.472811e-14,3.7398422e-08,0.0015687975,0.35449287,101181.88,266.5796,2.517538,6.7208204
-120.0,10.5,2022-03-31,1.7158851e-07,5864.165,6.1071106e-08,0.046000063,0.0,101281.23,1.499343e-35,5.0513336e-09,0.0021762848,0.4580078,101281.0,266.63293,5.225566,7.3862042
-120.0,10.5,2022-04-30,7.514336e-08,5849.579,6.319317e-08,0.040251642,0.0,101171.33,0.0,1.2270175e-06,0.0018057823,0.38793945,101170.11,266.46967,6.17752,7.4203906
-120.0,10.5,2022-05-31,9.044044e-09,5843.749,6.538287e-08,-0.016941726,0.0,101095.52,0.0,1.2838282e-06,0.0013623238,0.2982178,101097.36,266.4219,6.4597135,6.6067696
-120.0,10.5,2022-06-30,1.6702145e-08,5857.1,6.471994e-08,-0.03003043,0.0,101245.25,0.0,3.9918814e-07,0.0014534008,0.32788107,101243.69,266.15134,5.5373845,6.396964
-120.0,10.5,2022-07-31,2.651143e-08,5871.3687,6.55689e-08,0.06348875,0.0,101296.805,0.0,1.024091e-08,0.0014505569,0.3234994,101294.55,266.3701,3.4979901,7.5434093
-120.0,10.5,2022-08-31,-1.3690908e-08,5850.1206,6.66273e-08,-0.14420736,0.0,101092.93,0.0,6.36559e-07,0.0011782665,0.25109917,101093.71,266.80872,2.1264195,7.7869997
-120.0,11.0,2022-01-31,2.647131e-07,5841.539,6.306098e-08,0.018459886,0.0,100955.93,3.872458e-11,3.3935066e-08,0.0011420256,0.28320324,100953.086,266.11127,-0.8509569,6.070084
-120.0,11.0,2022-02-28,3.4464014e-07,5856.508,6.027816e-08,0.02740857,0.0,101190.29,4.236611e-12,1.5372643e-07,0.0011668238,0.28466865,101186.88,266.3999,0.6005459,6.513789
-120.0,11.0,2022-03-31,3.044184e-07,5863.165,6.150766e-08,0.062723696,0.0,101289.23,8.7838815e-36,2.5862828e-06,0.0017619133,0.3786621,101291.0,266.59387,4.2526655,7.9233136
-120.0,11.0,2022-04-30,1.810813e-07,5848.704,6.221819e-08,0.025481135,0.0,101187.33,3.7846348e-10,6.409362e-06,0.0020856857,0.45092773,101184.11,266.33685,6.073516,8.166484
-120.0,11.0,2022-05-31,5.4562435e-08,5843.124,6.520825e-08,0.014064133,0.0,101111.52,2.2902213e-10,5.0477684e-06,0.0016217232,0.35766605,101108.36,266.28128,7.0222135,6.833332
-120.0,11.0,2022-06-30,1.6643938e-08,5856.475,6.547664e-08,-0.020264804,0.0,101253.25,1.846293e-23,2.3776665e-06,0.0014929783,0.34082052,101255.19,265.9951,5.9856267,6.3422766
-120.0,11.0,2022-07-31,4.7233357e-08,5870.6187,6.549614e-08,0.048352033,0.0,101320.805,0.0,2.9431249e-08,0.0014167015,0.31922695,101319.05,266.2529,3.8130536,7.2172375
-120.0,11.0,2022-08-31,6.3841696e-08,5851.1206,6.645268e-08,-0.08109701,0.0,101092.93,0.0,1.6379636e-07,0.0013256092,0.28649956,101092.21,266.72278,1.9906774,7.6287966
-120.0,11.5,2022-01-31,2.0677476e-08,5841.414,6.28427e-08,0.0948759,0.0,100963.93,8.52296e-12,4.105459e-09,0.0017833716,0.4409181,100967.836,265.5722,0.010371208,5.708756
-120.0,11.5,2022-02-28,2.1675791e-07,5855.633,6.0380025e-08,0.072574586,0.0,101206.29,4.2241766e-12,6.0128514e-08,0.0015192064,0.37231514,101202.38,266.04053,-0.0010166168,6.1270704
-120.0,11.5,2022-03-31,3.219971e-07,5862.165,6.181325e-08,0.054056704,0.0,101305.23,1.4076545e-36,3.5073608e-06,0.0014767647,0.33496094,101305.0,266.43762,3.1078901,8.177219
-120.0,11.5,2022-04-30,2.4802011e-07,5848.079,6.2465574e-08,0.05856219,0.0,101203.33,1.5324986e-10,1.0885298e-05,0.002029419,0.4453125,101204.61,266.21185,5.759063,8.63914
-120.0,11.5,2022-05-31,9.938233e-08,5842.249,6.494631e-08,0.058741868,0.0,101135.52,9.109158e-11,5.958602e-06,0.0018939972,0.41796878,101132.86,266.21097,7.5173306,7.237629
-120.0,11.5,2022-06-30,7.3889197e-09,5855.85,6.684452e-08,0.0017078519,0.0,101285.25,1.5315249e-21,3.0826777e-06,0.0015726101,0.36047384,101284.69,265.97165,6.654572,6.3959875
-120.0,11.5,2022-07-31,2.2087647e-08,5869.9937,6.655843e-08,0.037853986,0.0,101352.805,0.0,4.742469e-08,0.001379985,0.3141,101356.05,266.1826,4.215153,7.0277843
-120.0,11.5,2022-08-31,8.4796454e-08,5851.3706,6.633626e-08,-0.052044272,0.0,101124.93,0.0,3.5506673e-09,0.0013413448,0.29516655,101121.71,266.55872,1.7377477,7.648328
-120.0,12.0,2022-01-31,-4.882247e-08,5840.539,6.230428e-08,0.11855754,0.0,100987.93,1.4951148e-16,7.110198e-16,0.0021114354,0.51269543,100986.086,265.53314,1.5826368,6.865006
-120.0,12.0,2022-02-28,8.2298214e-08,5854.633,5.997257e-08,0.10150525,0.0,101222.29,1.1155521e-12,1.031367e-09,0.0021543535,0.5290534,101219.38,265.50146,0.72163963,6.4591017
-120.0,12.0,2022-03-31,2.414377e-07,5860.915,6.131849e-08,0.016214907,0.0,101321.23,0.0,2.0572916e-06,0.0017056465,0.40356445,101324.5,266.14075,2.480937,8.138157
-120.0,12.0,2022-04-30,2.721181e-07,5847.829,6.30622e-08,0.057585627,0.0,101227.33,2.9931613e-12,9.547919e-06,0.0018548965,0.4202881,101224.11,266.03217,5.221343,8.834453
-120.0,12.0,2022-05-31,1.9461007e-07,5841.999,6.4728034e-08,0.041041672,0.0,101159.52,1.1031176e-12,5.979091e-06,0.002152443,0.48425296,101156.36,266.02347,7.49194,7.4348946
-120.0,12.0,2022-06-30,7.758736e-08,5855.225,6.731018e-08,0.010985196,0.0,101309.25,1.468603e-12,3.7811697e-06,0.0018134129,0.41809103,101312.19,265.8857,7.1418767,6.479972
-120.0,12.0,2022-07-31,3.9549946e-08,5869.2437,6.772258e-08,0.01954344,0.0,101392.805,0.0,1.0014628e-07,0.0014376823,0.3288705,101389.05,266.15134,4.6725507,6.886183
-120.0,12.0,2022-08-31,9.038439e-08,5851.1206,6.7034755e-08,-0.018963218,0.0,101140.93,0.0,0.0,0.0013537426,0.30163628,101144.21,266.44153,1.7523961,7.7244997
-120.0,12.5,2022-01-31,-4.5562842e-08,5839.164,6.228973e-08,0.16128215,0.0,101011.93,6.208367e-13,6.2073013e-10,0.0020999913,0.4959718,101012.336,265.79877,2.8599806,8.704849
-120.0,12.5,2022-02-28,-1.7236886e-08,5853.508,5.979795e-08,0.11078259,0.0,101246.29,7.1398075e-30,1.13522015e-29,0.0023222002,0.5698249,101242.88,265.36084,2.258749,7.50793
-120.0,12.5,2022-03-31,1.4830545e-07,5859.665,6.0299854e-08,-0.011617124,0.0,101345.23,0.0,4.984904e-07,0.002248764,0.5427246,101348.0,265.68762,2.706523,8.446751
-120.0,12.5,2022-04-30,2.4301426e-07,5847.079,6.2843924e-08,0.030486017,0.0,101243.33,0.0,3.643334e-06,0.0019598007,0.46435547,101243.11,265.7353,4.6380606,8.783671
-120.0,12.5,2022-05-31,2.6899946e-07,5840.874,6.416051e-08,0.01284343,0.0,101183.52,0.0,2.8377399e-06,0.0024204254,0.571045,101182.86,265.6094,6.746823,7.1712227
-120.0,12.5,2022-06-30,1.8925876e-07,5853.975,6.643707e-08,0.019530118,0.0,101341.25,6.958878e-13,2.3245811e-06,0.0023012173,0.54858416,101342.19,265.5029,7.0041814,6.242667
-120.0,12.5,2022-07-31,8.495192e-08,5868.3687,6.792631e-08,0.003063947,0.0,101424.805,0.0,1.5099067e-07,0.0016279403,0.3778207,101425.55,265.9326,4.943791,6.5277843
-120.0,12.5,2022-08-31,8.409796e-08,5850.2456,6.747131e-08,-0.019451499,0.0,101172.93,0.0,1.6125341e-09,0.0014348049,0.32275444,101175.21,266.3009,2.0131383,7.570203
